Country Name,GDP (current US$),Internet users (per 100 people),"Population, female (% of total)",GDP per capita (current US$),"Labor force, female (% of total labor force)","Unemployment, female (% of female labor force) (modeled ILO estimate)"
"Korea, Rep.",1.25E+12,84.12582403,50.28076083,24945.87694,41.51321892,3
Austria,4.18E+11,79.1117574,51.1188388,49542.60916,46.06656876,4.399999976
"Venezuela, RB",3.95E+11,47.70801661,50.13645569,13197.42424,39.57219676,8.950000048
Bangladesh,1.40E+11,5.886,49.48183315,900.9755303,40.15265999,5.149999857
Angola,1.11E+11,16.41464202,50.42368892,4886.926143,45.98977093,7.275000095
Antigua and Barbuda,1187975015,56.88,52.2410909,13332.90735,0,0
Andorra,3292207863,87.66688492,0,40935.58259,0,0
"Micronesia, Fed. Sts.",311702850,25.2448846,48.87144522,3009.252359,0,0
Nicaragua,10322729326,13.44,50.72742893,1754.227943,38.36719304,8.325000048
Nigeria,4.65E+11,33.182,49.12392043,2750.41917,42.48384249,7.400000095
Niger,6984342039,1.43754,49.63128243,393.7431701,31.05090027,4.5
Nepal,18529635314,11.36386,51.44301361,673.0239823,50.65141241,2.400000095
"Bahamas, The",8195210000,65.73364056,51.08577025,22016.22428,48.30349508,14.60000014
Pakistan,2.19E+11,10.332,48.61302397,1231.326308,21.88002815,8.975000143
Barbados,4349100000,70.354,52.04074991,15449.32856,48.83096891,13.7249999
Papua New Guinea,13348443307,4.532,48.98983079,1879.410288,48.28397454,2.800000012
Paraguay,25924785560,30.76070318,49.2537992,4053.969561,38.90159305,6.299999952
Panama,37780300000,42.41037904,49.81029737,10057.68362,37.42848332,5.925000072
Bahrain,30456079787,80.19999724,37.69786957,22987.03682,19.44118183,18.125
Brazil,2.40E+12,48.708,50.77840926,11836.93215,43.66558068,8.900000095
Burkina Faso,11107876336,5.525006983,50.4538013,667.236302,47.48521515,2.300000012
Burundi,2532610842,1.201999989,50.63857239,248.8818978,51.47298446,7.425000072
Greece,2.64E+11,54.83925772,51.04937626,23793.66398,42.39919481,24.19999981
Palau,216111576.3,0,0,10394.73929,0,0
Curacao,0,0,54.06433329,0,0,0
Cayman Islands,0,71.55849514,0,0,0,0
Germany,3.66E+12,83.1959996,50.94724764,45081.53539,45.81346558,5.549999952
Italy,2.15E+12,56.86385926,51.42703149,35906.99574,41.39718271,11.05000019
Solomon Islands,960217231.2,6.99948,49.24787042,1741.218424,40.11866425,4.225000024
Latvia,28712539635,72.47085967,54.25381026,14111.06124,50.06732203,13.45000005
Norway,4.92E+11,94.57667214,49.84721626,97996.0884,47.09534729,3.049999952
Czech Republic,2.11E+11,73.31208156,50.89049871,20100.60749,43.61122456,8.199999928
Moldova,7208206358,41.054,51.90862435,2025.279029,48.38408945,4.875
Morocco,99360976848,53.26470716,50.71213684,2960.817128,26.85070732,9.924999952
Monaco,5712779596,85.08,0,154286.4191,0,0
Brunei Darussalam,15876746640,60.50861301,48.3845626,39108.94003,39.822273,4
Fiji,3704359842,32.12847135,49.02707735,4236.946959,33.55132148,11.79999971
