CountryName,CountryCode,SeriesName,SeriesCode,YR2010,YR2011,YR2012,YR2013,YR2014
Somalia,SOM,Population density (people per sq. km of land area),EN.POP.DNST,15.2735581981063,15.6321452481908,15.9939267382918,16.3677702681162,16.7653409634329
Somalia,SOM,Arable land (% of land area),AG.LND.ARBL.ZS,1.75343513884018,1.59403194440017,1.59403194440017,1.75343513884018,..
Somalia,SOM,Unemployment total (% of total labor force) (modeled ILO estimate),SL.UEM.TOTL.ZS,6.90000009536743,6.90000009536743,6.90000009536743,6.90000009536743,..
Somalia,SOM,Unemployment female (% of female labor force) (modeled ILO estimate),SL.UEM.TOTL.FE.ZS,7.30000019073486,7.30000019073486,7.40000009536743,7.40000009536743,..
Jordan,JOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.33683030118537,2.56080879892619,2.65120334919015,2.82921076906983,3.09633027522935
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,26425379436.6197,28840263380.2817,30937277605.6338,33593843661.9718,35826925774.6479
Jordan,JOR,Internet users (per 100 people),IT.NET.USER.P2,27.2,34.9,37,41,44
Jordan,JOR,Rural Population,SP.RUR.TOTL,1059682,1067830,1075955,1084569,1093657
Jordan,JOR,Population female (% of total),SP.POP.TOTL.FE.ZS,48.4542595849714,48.5270556896951,48.6062737447156,48.6831987217443,48.7472025326577
Jordan,JOR,Population growth (annual %),SP.POP.GROW,2.19053989269163,2.20831743198699,2.19226317027572,2.22266154146171,2.25003752532381
Jordan,JOR,Population total,SP.POP.TOTL,6046000,6181000,6318000,6460000,6607000
Jordan,JOR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.119475890094535,0.3207652480679,0.42530672702506,0.568878272288416,0.802526650216691
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,4370.72104476013,4665.95427605269,4896.68844660237,5200.28539659007,5422.57087553321
Jordan,JOR,Labor force total,SL.TLF.TOTL.IN,1619059,1644703,1661987,1717180,..
Jordan,JOR,Labor force female (% of total labor force),SL.TLF.TOTL.FE.ZS,17.8050336646163,18.0050744724123,17.9479743223022,18.2000722114164,..
Jordan,JOR,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,6.82495202460195,6.71853824064284,6.94951284215821,6.7261440268347,..
Jordan,JOR,Surface area (sq. km),AG.SRF.TOTL.K2,89320,89320,89320,89320,89320
Jordan,JOR,Population density (people per sq. km of land area),EN.POP.DNST,68.1009236314485,69.621536382068,71.164676728993,72.7641360666817,74.419914395134
Jordan,JOR,Arable land (% of land area),AG.LND.ARBL.ZS,2.00045055192611,1.97792295562064,2.44424419914395,2.60193737328227,..
Jordan,JOR,Unemployment total (% of total labor force) (modeled ILO estimate),SL.UEM.TOTL.ZS,12.5,12.8999996185303,12.1999998092651,12.6000003814697,..
Jordan,JOR,Unemployment female (% of female labor force) (modeled ILO estimate),SL.UEM.TOTL.FE.ZS,22.7999992370605,22,21,22.1000003814697,..
West Bank and Gaza,WBG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.33746235197574,7.89297981943477,14.4752476943324,-4.28112541044075,-1.49905695460788
West Bank and Gaza,WBG,GDP (current US$),NY.GDP.MKTP.CD,8913100000,10465400000,11279400010.3737,12475999993.0541,12737613125.0175
West Bank and Gaza,WBG,Internet users (per 100 people),IT.NET.USER.P2,37.4,41.08,43.4,46.6,53.67
West Bank and Gaza,WBG,Rural Population,SP.RUR.TOTL,985703,1007053,1028844,1050716,1072554
West Bank and Gaza,WBG,Population female (% of total),SP.POP.TOTL.FE.ZS,49.2966687803223,49.2981451208822,49.2993667030727,49.3005179998556,49.3018254496474
West Bank and Gaza,WBG,Population growth (annual %),SP.POP.GROW,2.89862866566735,2.99703763622659,3.00626405051232,2.9846160535681,2.95799495489124
West Bank and Gaza,WBG,Population total,SP.POP.TOTL,3811102,3927051,4046901,4169506,4294682
West Bank and Gaza,WBG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.586340855267878,4.70736213403073,11.0850341862269,-7.09575443820876,-4.37003879835092
West Bank and Gaza,WBG,GDP per capita (current US$),NY.GDP.PCAP.CD,2338.71987682303,2664.95138463952,2787.16974059255,2992.20099288839,2965.90367459511
West Bank and Gaza,WBG,Labor force total,SL.TLF.TOTL.IN,892916,930313,971548,1013786,..
West Bank and Gaza,WBG,Labor force female (% of total labor force),SL.TLF.TOTL.FE.ZS,17.896196282741,18.0942328012185,18.3679035930289,18.5187011854573,..
West Bank and Gaza,WBG,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,6.27158657701284,6.01947946551322,5.76399724974988,..,..
West Bank and Gaza,WBG,Surface area (sq. km),AG.SRF.TOTL.K2,6020,6020,6020,6020,6020
West Bank and Gaza,WBG,Population density (people per sq. km of land area),EN.POP.DNST,633.07342192691,652.334053156146,672.2426910299,692.608970099668,713.402325581395
West Bank and Gaza,WBG,Arable land (% of land area),AG.LND.ARBL.ZS,7.25913621262459,7.39202657807309,7.47508305647841,7.64119601328904,..
West Bank and Gaza,WBG,Unemployment total (% of total labor force) (modeled ILO estimate),SL.UEM.TOTL.ZS,23.7000007629395,21,23,23.3999996185303,..
West Bank and Gaza,WBG,Unemployment female (% of female labor force) (modeled ILO estimate),SL.UEM.TOTL.FE.ZS,19.5,19.1000003814697,21.8999996185303,21.2999992370605,..
Namibia,NAM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.96378015673638,5.17488443823851,5.16764647605004,5.11017693816078,4.47596199418952
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,11273248975.5778,12411220517.5524,13020182472.5944,12932205891.187,13429503284.8968
Namibia,NAM,Internet users (per 100 people),IT.NET.USER.P2,11.6,12,12.9414,13.9,14.84
Namibia,NAM,Rural Population,SP.RUR.TOTL,1280737,1285024,1290975,1298158,1305281
Namibia,NAM,Population female (% of total),SP.POP.TOTL.FE.ZS,51.48034570803,51.4780410872254,51.4523410039513,51.4118346947403,51.3675381566451
Namibia,NAM,Population growth (annual %),SP.POP.GROW,1.90001113794702,2.09841061703359,2.27221620103119,2.36941625194379,2.36947993938036
Namibia,NAM,Population total,SP.POP.TOTL,2193643,2240161,2291645,2346592,2402858
Namibia,NAM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.96946265495919,2.99087834479343,2.8049545620874,2.64895279173005,2.02952342912863
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,5139.05360880406,5540.32523445968,5681.5878866903,5511.05854412997,5588.97083593656
Namibia,NAM,Labor force total,SL.TLF.TOTL.IN,831057,835757,839150,870140,..
Namibia,NAM,Labor force female (% of total labor force),SL.TLF.TOTL.FE.ZS,48.4754956639557,48.5373140757421,48.6646010844307,48.5477049670168,..
Namibia,NAM,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.82899608570772,1.81871046249089,1.81135673002443,1.74684533523341,..
Namibia,NAM,Surface area (sq. km),AG.SRF.TOTL.K2,824290,824290,824290,824290,824290
Namibia,NAM,Population density (people per sq. km of land area),EN.POP.DNST,2.66448396069429,2.72098652965541,2.78352099503213,2.85026175466725,2.91860462291538
Namibia,NAM,Arable land (% of land area),AG.LND.ARBL.ZS,0.971711061715799,0.971711061715799,0.971711061715799,0.971711061715799,..
Namibia,NAM,Unemployment total (% of total labor force) (modeled ILO estimate),SL.UEM.TOTL.ZS,22.1000003814697,19.7999992370605,16.7000007629395,16.8999996185303,..
Namibia,NAM,Unemployment female (% of female labor force) (modeled ILO estimate),SL.UEM.TOTL.FE.ZS,23.7999992370605,21.7999992370605,18.7999992370605,18.7000007629395,..
Myanmar,MMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,8.24487453931543,8.4996636017044
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,..,..,74690930782.389,58652241646.0073,64330038664.7327
Myanmar,MMR,Internet users (per 100 people),IT.NET.USER.P2,0.25,0.98,1.0691,1.6,2.1
Myanmar,MMR,Rural Population,SP.RUR.TOTL,35486260,35479161,35483381,35495457,35508458
Myanmar,MMR,Population female (% of total),SP.POP.TOTL.FE.ZS,51.1873124420571,51.1833796380042,51.1742204000655,51.1618894134661,51.14927610579
Myanmar,MMR,Population growth (annual %),SP.POP.GROW,0.704713590573913,0.755643792843734,0.799532281009548,0.833886599800797,0.85196116019991
Myanmar,MMR,Population total,SP.POP.TOTL,51733013,52125411,52543841,52983829,53437159
Myanmar,MMR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,7.34598809117284,7.57921510816529
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,1421.49735080062,1106.98382417789,1203.84466293825
Myanmar,MMR,Labor force total,SL.TLF.TOTL.IN,28513812,28899868,29340148,29765555,..
Myanmar,MMR,Labor force female (% of total labor force),SL.TLF.TOTL.FE.ZS,49.5711762425873,49.6222128073388,49.5381311641645,49.5132141833069,..
Myanmar,MMR,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.80000485378805,1.77595966874312,1.74930951268548,1.72430851700901,..
Myanmar,MMR,Surface area (sq. km),AG.SRF.TOTL.K2,676590,676590,676590,676590,676590
Myanmar,MMR,Population density (people per sq. km of land area),EN.POP.DNST,79.1920720693139,79.7890844800931,80.4468207915486,81.1291556930238,81.8232972989527
Myanmar,MMR,Arable land (% of land area),AG.LND.ARBL.ZS,16.5493065548174,16.5102787429779,16.460231187323,16.4941507931647,..
Myanmar,MMR,Unemployment total (% of total labor force) (modeled ILO estimate),SL.UEM.TOTL.ZS,3.5,3.40000009536743,3.29999995231628,3.40000009536743,..
Myanmar,MMR,Unemployment female (% of female labor force) (modeled ILO estimate),SL.UEM.TOTL.FE.ZS,3.70000004768372,3.70000004768372,3.59999990463257,3.70000004768372,..
Romania,ROU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.939655979770862,2.30892054287995,0.353678397500403,3.49992129702503,1.75656048727444
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,164792252745.524,182611165781.014,169396055590.796,189639111752.156,199043652215.454
Romania,ROU,Internet users (per 100 people),IT.NET.USER.P2,39.93,40.0099967810008,45.8799942529424,49.7645,54.08
Romania,ROU,Rural Population,SP.RUR.TOTL,9348183,9275922,9208443,9145537,9080807
Romania,ROU,Population female (% of total),SP.POP.TOTL.FE.ZS,51.4243278359086,51.4570201650147,51.4868823462817,51.5139943022597,51.5387688932895
Romania,ROU,Population growth (annual %),SP.POP.GROW,-0.593959183588628,-0.491866212866043,-0.445177936198383,-0.371323062878035,-0.364449926099552
Romania,ROU,Population total,SP.POP.TOTL,20246871,20147528,20058035,19983693,19910995
Romania,ROU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.349527141870723,2.81338317936277,0.801426730815578,3.88495479153796,2.12808880287614
Romania,ROU,GDP per capita (current US$),NY.GDP.PCAP.CD,8139.14667335628,9063.70080642222,8445.29664001466,9489.69300880253,9996.670292743
Romania,ROU,Labor force total,SL.TLF.TOTL.IN,9559879,9444316,9510290,9520842,..
Romania,ROU,Labor force female (% of total labor force),SL.TLF.TOTL.FE.ZS,44.6249581192398,45.0716706217793,44.8044276252354,44.8548668279549,..
Romania,ROU,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.6088069733937,1.60202178749631,1.59090837398229,1.58914516174095,..
Romania,ROU,Surface area (sq. km),AG.SRF.TOTL.K2,238390,238390,238390,238390,238390
Romania,ROU,Population density (people per sq. km of land area),EN.POP.DNST,88.0107411432297,87.5332493374462,87.201265107382,86.8742903099596,86.5582532713124
Romania,ROU,Arable land (% of land area),AG.LND.ARBL.ZS,39.7565746576831,39.0798105747925,38.2488479262673,38.0211276789984,..
Romania,ROU,Unemployment total (% of total labor force) (modeled ILO estimate),SL.UEM.TOTL.ZS,7.30000019073486,7.40000009536743,7,7.30000019073486,..
Romania,ROU,Unemployment female (% of female labor force) (modeled ILO estimate),SL.UEM.TOTL.FE.ZS,6.5,6.69999980926514,6.30000019073486,6.59999990463257,..
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.53192038046484,1.6014542734504,2.32108474142517,2.21930799126562,2.38822690701687
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,14964372000000,15517926000000,16163158000000,16768053000000,17419000000000
United States,USA,Internet users (per 100 people),IT.NET.USER.P2,71.69,69.7294607619268,79.3,84.2,87.36
United States,USA,Rural Population,SP.RUR.TOTL,59481252,59414143,59342054,59257833,59157550
United States,USA,Population female (% of total),SP.POP.TOTL.FE.ZS,50.5313096518522,50.5137693618006,50.4920162427849,50.4688732530483,50.4482711295613
United States,USA,Population growth (annual %),SP.POP.GROW,0.836054311839923,0.764677599367843,0.763927409799426,0.756558207855926,0.742746143848123
United States,USA,Population total,SP.POP.TOTL,309347057,311721632,314112078,316497531,318857056
United States,USA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.67827129650522,0.827493635128789,1.54240399379788,1.44887747910568,1.63055955562295
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,48374.0564565966,49781.357490134,51456.6587280353,52980.0436263119,54629.4951678912
United States,USA,Labor force total,SL.TLF.TOTL.IN,157632611,157980502,159329636,159851241,..
United States,USA,Labor force female (% of total labor force),SL.TLF.TOTL.FE.ZS,46.2052411223462,46.0573818153838,45.9367314439857,45.7926579375133,..
